Medical Conditions Breakdown by Season (data downloaded on 9/13/2025)
SEASON,MEDICAL CONDITION,CHILDREN-PERCENT(%),ADULTS_18_49_PERCENT,FEMALES (15-44 YR)-PERCENT(%),ADULTS_50_64_PERCENT,ADULTS_65_PLUS_PERCENT,ADULTS_65_74_PERCENT,ADULTS_75_84_PERCENT,ADULTS_85_PLUS_PERCENT,ADULTS_OVERALL_PERCENT
2006-07,Cardiovascular disease,3.8,12.6,N/A,36.8,57.2,48.3,59.5,65.5,38.5
2006-07,Chronic lung disease,5.9,8.5,N/A,24.5,29.3,35.0,27.7,24.1,21.6
2006-07,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2006-07,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2006-07,Immune suppression,4.8,16.7,N/A,18.7,7.0,13.3,4.7,2.3,12.6
2006-07,Metabolic disease,4.8,19.1,N/A,40.0,40.8,44.2,40.5,36.8,33.6
2006-07,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2006-07,Renal disease,1.9,11.0,N/A,11.6,18.3,15.8,19.6,19.5,14.6
2006-07,No known condition,69.4,31.3,N/A,16.8,16.9,20.0,14.9,16.1,21.6
2007-08,Asthma,19.2,28.4,N/A,20.0,8.7,12.7,8.3,6.2,15.6
2007-08,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007-08,Cardiovascular disease,3.3,12.8,N/A,36.4,59.6,56.1,58.8,63.4,44.0
2007-08,Chronic lung disease,2.2,9.5,N/A,27.9,29.7,37.8,32.2,20.7,24.5
2007-08,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007-08,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007-08,Immune suppression,4.8,17.0,N/A,14.2,6.7,10.0,6.6,4.4,10.6
2007-08,Metabolic disease,2.7,21.2,N/A,40.5,39.9,47.2,43.4,30.1,35.5
2007-08,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007-08,Renal disease,1.5,10.2,N/A,14.4,18.6,19.7,18.4,18.0,15.8
2007-08,No known condition,70.0,28.3,N/A,23.4,14.5,11.8,14.8,16.3,19.5
2008-09,Asthma,20.0,28.6,N/A,24.9,12.5,16.8,12.9,6.0,21.9
2008-09,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008-09,Cardiovascular disease,4.2,8.0,N/A,22.9,50.5,39.3,58.3,51.8,26.9
2008-09,Chronic lung disease,3.5,8.8,N/A,32.3,33.4,39.3,36.0,21.7,23.1
2008-09,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008-09,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008-09,Immune suppression,4.4,20.6,N/A,16.9,7.3,12.1,5.8,3.6,14.9
2008-09,Metabolic disease,3.5,16.3,N/A,34.3,41.3,45.8,40.3,37.3,29.5
2008-09,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008-09,Renal disease,2.0,6.4,N/A,12.9,20.4,20.6,19.4,21.7,13.0
2008-09,No known condition,66.0,30.7,N/A,16.4,17.3,14.0,15.8,24.1,22.7
2009-10,Asthma,30.0,33.4,N/A,27.0,16.8,20.0,14.2,10.8,29.0
2009-10,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Cardiovascular disease,4.1,9.6,N/A,27.4,46.1,41.6,55.1,42.2,20.3
2009-10,Chronic lung disease,3.8,7.5,N/A,29.9,39.1,42.9,35.6,32.4,18.8
2009-10,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Immune suppression,4.3,11.4,N/A,14.5,11.1,14.0,9.7,2.9,12.3
2009-10,Metabolic disease,3.1,18.4,N/A,39.0,42.5,43.9,43.7,34.3,28.0
2009-10,Obesity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009-10,Renal disease,1.3,6.1,N/A,12.2,18.9,20.2,18.2,15.7,9.8
2009-10,No known condition,56.8,28.0,N/A,18.7,12.4,12.0,10.1,19.6,22.9
2010-11,Asthma,18.9,26.9,N/A,22.9,11.8,16.7,10.0,9.2,19.3
2010-11,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Cardiovascular disease,4.5,10.7,N/A,32.6,57.6,48.8,59.7,63.2,36.8
2010-11,Chronic lung disease,4.8,8.4,N/A,28.9,30.4,34.8,33.1,23.7,23.1
2010-11,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Immune suppression,5.0,16.0,N/A,16.4,7.5,12.5,7.2,3.3,12.4
2010-11,Metabolic disease,3.8,20.9,N/A,40.9,43.3,49.4,44.9,36.1,35.7
2010-11,Obesity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010-11,Renal disease,1.4,7.6,N/A,14.9,21.0,20.9,20.4,21.7,15.3
2010-11,No known condition,65.6,26.8,N/A,17.3,12.7,12.8,12.1,13.3,18.3
2011-12,Asthma,19.7,32.5,N/A,22.7,14.7,19.7,14.9,9.5,21.3
2011-12,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011-12,Cardiovascular disease,5.0,10.8,N/A,28.9,54.8,46.0,55.1,63.0,37.0
2011-12,Chronic lung disease,6.2,11.0,N/A,34.7,30.5,33.7,26.5,32.1,26.1
2011-12,Gastrointestinal/liver disease,0.2,1.9,N/A,4.4,1.4,0.7,2.7,0.7,2.2
2011-12,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011-12,Renal disease,2.3,6.8,N/A,17.4,21.7,19.0,24.3,21.3,16.7
2011-12,No known condition,56.8,15.2,N/A,6.7,6.7,8.0,6.8,5.2,9.0
2011-12,Immune suppression,3.9,18.6,N/A,25.0,15.2,21.3,14.9,9.5,18.3
2011-12,Metabolic disease,3.5,17.3,N/A,41.4,43.0,44.0,45.1,39.3,35.6
2011-12,Neurologic disease,13.3,11.0,N/A,14.6,27.7,14.3,27.0,41.6,20.2
2011-12,Obesity,7.9,39.5,N/A,44.0,29.2,40.0,28.9,19.0,35.3
2011-12,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012-13,Asthma,22.5,31.8,N/A,23.9,12.3,17.9,11.4,8.7,18.6
2012-13,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012-13,Cardiovascular disease,6.6,13.5,N/A,37.6,60.2,50.4,61.4,67.0,46.3
2012-13,Chronic lung disease,5.6,10.9,N/A,34.1,31.2,39.6,32.5,23.2,27.9
2012-13,Gastrointestinal/liver disease,0.5,2.6,N/A,4.6,1.2,2.3,1.0,0.4,2.2
2012-13,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012-13,Renal disease,2.3,8.9,N/A,14.9,22.7,19.2,24.0,24.4,18.4
2012-13,No known condition,54.1,13.0,N/A,7.6,6.0,5.7,6.0,6.4,7.7
2012-13,Immune suppression,8.1,20.4,N/A,22.5,13.1,20.6,11.2,8.9,16.5
2012-13,Metabolic disease,3.6,22.1,N/A,41.7,45.8,50.2,46.7,41.5,40.3
2012-13,Neurologic disease,16.1,13.9,N/A,15.5,28.1,17.5,26.4,38.4,22.6
2012-13,Obesity,7.9,33.5,N/A,45.3,26.7,38.7,27.7,16.1,32.0
2012-13,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013-14,Asthma,26.2,30.4,N/A,23.3,14.8,17.6,13.6,10.1,22.6
2013-14,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013-14,Cardiovascular disease,7.9,13.6,N/A,35.7,60.4,53.3,65.8,67.9,37.2
2013-14,Chronic lung disease,7.3,10.8,N/A,37.3,39.4,45.4,36.7,29.5,29.6
2013-14,Gastrointestinal/liver disease,0.6,3.2,N/A,7.9,2.6,3.4,2.4,1.3,4.6
2013-14,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013-14,Renal disease,1.8,7.9,N/A,14.7,25.3,20.4,30.3,28.3,16.2
2013-14,No known condition,51.1,13.8,N/A,7.3,5.1,5.0,4.7,6.0,8.6
2013-14,Immune suppression,7.8,16.7,N/A,21.7,18.6,22.0,18.2,11.1,19.0
2013-14,Metabolic disease,3.7,22.4,N/A,39.1,49.0,47.6,52.5,46.4,37.2
2013-14,Neurologic disease,14.4,15.2,N/A,17.4,26.6,20.3,28.4,38.4,19.9
2013-14,Obesity,7.7,44.9,N/A,46.7,35.5,42.9,33.9,20.5,42.3
2013-14,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-15,Asthma,25.9,32.7,N/A,23.4,12.6,17.6,12.6,9.0,17.4
2014-15,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-15,Cardiovascular disease,7.7,16.3,N/A,40.0,61.7,53.4,62.9,66.6,51.4
2014-15,Chronic lung disease,6.1,11.2,N/A,34.6,31.4,38.9,33.9,23.7,29.1
2014-15,Gastrointestinal/liver disease,0.2,4.2,N/A,8.0,2.0,4.1,1.7,0.9,3.4
2014-15,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014-15,Renal disease,2.3,10.2,N/A,18.3,24.6,21.5,25.0,26.5,21.5
2014-15,No known condition,46.4,10.4,N/A,6.6,5.8,5.9,5.0,6.5,6.6
2014-15,Immune suppression,7.9,19.1,N/A,22.9,13.6,20.4,13.5,8.9,16.0
2014-15,Metabolic disease,4.7,25.1,N/A,46.2,48.5,51.6,51.0,43.9,44.8
2014-15,Neurologic disease,15.6,17.1,N/A,19.2,31.7,22.2,30.2,39.9,27.4
2014-15,Obesity,9.4,38.0,N/A,47.5,27.8,41.9,29.8,16.0,32.8
2014-15,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015-16,Asthma,21.8,28.9,N/A,21.0,15.9,19.0,13.0,13.5,21.0
2015-16,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015-16,Cardiovascular disease,8.7,16.2,N/A,36.4,60.5,52.8,64.1,72.3,40.8
2015-16,Renal disease,2.1,10.0,N/A,15.0,25.0,22.8,24.7,30.6,17.7
2015-16,No known condition,49.7,13.1,N/A,7.6,5.3,5.5,5.0,5.6,8.2
2015-16,Immune suppression,7.9,15.6,N/A,20.3,17.4,19.4,18.1,11.6,17.8
2015-16,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015-16,Metabolic disease,3.9,23.5,N/A,40.2,48.4,50.5,48.4,43.7,39.0
2015-16,Neurologic disease,15.9,16.8,N/A,19.5,26.7,22.2,26.5,37.1,21.7
2015-16,Obesity,8.2,42.1,N/A,48.3,33.6,43.8,31.1,14.5,40.7
2015-16,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015-16,Chronic lung disease,7.0,11.8,N/A,36.2,37.7,40.5,38.9,29.4,30.2
2015-16,Gastrointestinal/liver disease,0.3,4.7,N/A,8.9,2.7,4.1,1.8,1.0,5.3
2016-17,Asthma,29.2,33.5,N/A,26.9,14.8,20.2,14.7,10.1,20.0
2016-17,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016-17,Cardiovascular disease,8.7,17.6,N/A,40.1,64.4,56.6,66.2,69.6,52.7
2016-17,Chronic lung disease,8.1,11.0,N/A,35.4,32.1,40.0,33.6,23.6,29.9
2016-17,Gastrointestinal/liver disease,0.7,4.8,N/A,10.3,2.8,5.7,1.9,1.0,4.7
2016-17,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016-17,Renal disease,2.4,10.5,N/A,17.9,28.0,24.0,26.9,32.7,23.4
2016-17,No known condition,41.5,10.7,N/A,6.5,5.2,5.3,4.8,5.6,6.3
2016-17,Immune suppression,10.2,18.5,N/A,22.9,15.4,20.4,16.2,10.1,17.4
2016-17,Metabolic disease,6.0,23.8,N/A,45.9,48.8,51.7,49.9,45.3,44.7
2016-17,Neurologic disease,21.7,19.6,N/A,21.7,33.2,24.3,31.6,42.6,28.8
2016-17,Obesity,9.7,37.0,N/A,46.4,29.1,41.5,30.8,16.3,33.9
2016-17,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-18,Asthma,27.1,30.3,N/A,25.4,14.9,18.4,14.8,11.3,19.4
2017-18,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-18,Cardiovascular disease,8.4,16.6,N/A,39.3,63.3,54.9,65.2,70.1,51.3
2017-18,Chronic lung disease,6.5,10.3,N/A,35.5,31.6,37.1,34.0,23.2,29.5
2017-18,Gastrointestinal/liver disease,0.8,5.2,N/A,9.9,3.1,6.1,2.2,1.1,5.0
2017-18,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017-18,Renal disease,2.2,10.0,N/A,16.6,25.9,21.5,27.1,29.1,21.6
2017-18,No known condition,46.1,12.2,N/A,7.8,5.2,5.4,5.0,5.1,6.7
2017-18,Immune suppression,8.2,16.3,N/A,22.1,16.1,21.4,16.0,10.4,17.5
2017-18,Metabolic disease,4.7,26.2,N/A,42.3,49.7,51.9,52.0,44.8,44.7
2017-18,Neurologic disease,18.2,14.1,N/A,16.7,27.9,20.1,26.7,37.3,23.4
2017-18,Obesity,14.0,40.5,N/A,46.8,31.3,43.7,31.7,17.7,36.1
2017-18,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-19,Asthma,25.9,30.6,N/A,24.8,16.5,19.1,16.5,12.1,21.5
2018-19,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-19,Cardiovascular disease,7.3,14.8,N/A,39.5,62.8,55.9,65.4,71.1,47.2
2018-19,Chronic lung disease,6.4,10.3,N/A,36.3,36.2,41.0,36.7,27.0,31.2
2018-19,Gastrointestinal/liver disease,0.6,4.8,N/A,9.2,3.5,6.5,2.0,0.5,5.3
2018-19,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-19,Renal disease,2.2,9.1,N/A,17.9,24.7,22.8,26.1,26.1,19.8
2018-19,No known condition,48.0,11.9,N/A,7.4,4.3,4.2,4.6,4.3,6.6
2018-19,Immune suppression,7.2,15.3,N/A,22.6,18.8,22.5,18.9,12.1,19.1
2018-19,Metabolic disease,4.2,25.7,N/A,45.2,50.4,51.6,50.9,47.6,44.2
2018-19,Neurologic disease,17.1,14.1,N/A,13.8,26.1,18.3,26.4,39.1,20.5
2018-19,Obesity,15.5,43.1,N/A,48.1,32.9,43.2,30.8,18.2,39.0
2018-19,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-20,Asthma,22.9,26.8,N/A,23.0,16.2,17.7,16.1,12.9,21.0
2019-20,Autoimmune disease,0.6,3.5,N/A,5.3,4.9,4.7,5.6,4.2,4.7
2019-20,Cardiovascular disease,7.3,17.2,N/A,42.0,67.4,59.9,72.1,76.2,46.5
2019-20,Chronic lung disease,6.4,13.7,N/A,42.5,43.3,49.1,41.8,33.0,35.2
2019-20,Gastrointestinal/liver disease,1.5,5.6,N/A,9.1,6.4,8.3,4.9,4.8,7.0
2019-20,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019-20,Renal disease,1.9,9.6,N/A,15.4,28.8,27.9,29.7,29.1,19.7
2019-20,No known condition,51.5,13.1,N/A,8.6,4.0,4.9,4.3,1.4,7.8
2019-20,Immune suppression,6.3,15.1,N/A,18.2,15.0,18.3,14.1,9.5,16.0
2019-20,Metabolic disease,4.1,24.3,N/A,44.0,49.5,51.6,49.3,45.2,41.2
2019-20,Neurologic disease,17.4,13.5,N/A,18.4,27.2,19.9,31.2,36.7,21.0
2019-20,Obesity,14.0,37.0,N/A,48.9,33.8,42.0,33.5,15.9,39.1
2019-20,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Asthma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Autoimmune disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Cardiovascular disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Chronic lung disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Gastrointestinal/liver disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Hypertension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Renal disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,No known condition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Immune suppression,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Metabolic disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Neurologic disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Obesity,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-21,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-22,Asthma,28.1,33.1,N/A,23.8,14.9,16.9,15.6,10.6,21.8
2021-22,Autoimmune disease,0.4,1.5,N/A,4.3,4.8,6.4,4.1,3.6,3.8
2021-22,Cardiovascular disease,5.0,11.8,N/A,40.4,62.8,56.5,64.7,69.7,44.0
2021-22,Chronic lung disease,6.6,10.7,N/A,41.5,40.7,48.4,38.7,31.6,32.5
2021-22,Gastrointestinal/liver disease,0.9,4.8,N/A,9.8,5.4,8.6,4.1,2.6,6.2
2021-22,Hypertension,1.3,20.5,N/A,64.6,76.4,73.6,78.4,77.5,58.5
2021-22,Renal disease,1.7,5.7,N/A,15.3,24.8,22.5,26.1,26.4,17.6
2021-22,No known condition,45.9,12.5,N/A,4.9,2.7,2.9,3.1,1.8,5.9
2021-22,Immune suppression,7.0,6.8,N/A,14.7,11.8,14.8,10.6,8.8,11.0
2021-22,Metabolic disease,6.2,20.0,N/A,43.5,49.7,50.0,49.2,50.3,40.2
2021-22,Neurologic disease,16.9,11.1,N/A,14.7,27.6,21.3,27.8,37.6,20.4
2021-22,Obesity,13.3,43.5,N/A,46.2,30.7,38.5,31.3,16.8,37.4
2021-22,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-23,Asthma,27.6,34.7,N/A,30.2,15.4,18.4,14.8,10.9,23.1
2022-23,Autoimmune disease,0.4,2.3,N/A,3.9,5.2,5.0,5.9,4.4,4.3
2022-23,Cardiovascular disease,6.8,14.0,N/A,45.1,64.6,58.7,66.1,73.4,49.3
2022-23,Chronic lung disease,4.8,13.1,N/A,46.6,41.9,48.9,41.7,29.2,37.1
2022-23,Gastrointestinal/liver disease,0.5,7.2,N/A,9.6,6.3,9.1,5.3,2.6,7.3
2022-23,Hypertension,1.4,26.8,N/A,69.1,75.6,71.5,78.3,78.7,63.8
2022-23,Renal disease,1.5,6.7,N/A,14.6,26.1,23.7,27.2,28.8,19.2
2022-23,No known condition,48.1,10.5,N/A,3.2,2.0,2.9,1.5,1.3,4.2
2022-23,Immune suppression,7.7,11.4,N/A,15.7,13.1,14.6,13.7,9.2,13.4
2022-23,Metabolic disease,5.0,25.1,N/A,49.0,49.7,48.9,52.4,47.0,44.4
2022-23,Neurologic disease,15.7,13.7,N/A,18.4,27.5,20.6,29.0,38.1,22.4
2022-23,Obesity,14.4,47.3,N/A,52.4,32.2,40.2,32.7,16.3,40.5
2022-23,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-24,Asthma,23.7,31.2,N/A,25.2,14.9,18.0,13.3,11.3,21.5
2023-24,Autoimmune disease,0.2,2.0,N/A,4.5,5.1,5.4,5.8,3.0,4.2
2023-24,Cardiovascular disease,6.3,15.5,N/A,40.1,62.0,53.1,66.0,73.1,45.0
2023-24,Chronic lung disease,5.6,13.0,N/A,38.6,42.2,47.2,43.6,29.3,34.1
2023-24,Gastrointestinal/liver disease,0.5,7.1,N/A,8.4,6.0,7.1,5.4,4.7,6.9
2023-24,Hypertension,1.1,28.1,N/A,63.9,77.4,72.9,81.4,79.5,61.8
2023-24,Renal disease,1.1,6.0,N/A,16.3,24.4,21.5,24.7,29.6,17.8
2023-24,No known condition,47.1,14.8,N/A,5.7,2.8,3.1,2.0,3.3,6.5
2023-24,Immune suppression,4.8,8.0,N/A,14.4,13.7,15.9,15.2,6.5,12.5
2023-24,Metabolic disease,3.9,22.6,N/A,44.4,48.1,46.7,49.7,47.8,40.9
2023-24,Neurologic disease,18.0,11.3,N/A,17.7,27.8,19.3,30.3,40.9,21.2
2023-24,Obesity,15.7,46.7,N/A,45.6,31.9,38.7,31.4,18.9,39.0
2023-24,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-25,Asthma,26.0,30.8,N/A,25.6,15.9,18.6,15.6,11.9,21.0
2024-25,Autoimmune disease,0.9,2.2,N/A,3.0,4.4,5.1,4.3,3.6,3.7
2024-25,Cardiovascular disease,7.9,17.3,N/A,40.3,64.7,57.4,66.1,75.0,50.0
2024-25,Chronic lung disease,6.3,14.1,N/A,40.1,40.1,49.7,36.2,30.0,35.2
2024-25,Gastrointestinal/liver disease,1.4,5.0,N/A,9.5,5.8,8.9,4.0,3.6,6.6
2024-25,Hypertension,1.1,30.1,N/A,62.1,74.1,69.9,74.8,80.0,62.9
2024-25,Renal disease,1.6,10.1,N/A,18.3,28.4,21.8,31.9,34.1,22.6
2024-25,No known condition,46.5,15.4,N/A,5.6,2.8,3.5,2.7,2.0,5.9
2024-25,Immune suppression,4.9,11.0,N/A,18.2,14.4,15.7,15.8,9.8,14.7
2024-25,Metabolic disease,3.3,26.5,N/A,45.0,49.5,46.5,53.8,47.1,44.1
2024-25,Neurologic disease,17.8,16.8,N/A,18.6,29.6,20.8,31.7,41.4,24.6
2024-25,Obesity,13.5,44.6,N/A,43.6,31.8,39.1,30.9,20.6,37.1
2024-25,Pregnancy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A

"The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject to change as more data become available. The denominator for each underlying condition is the total number of patients with non-missing data for that condition."
"Asthma includes a medical diagnosis of asthma or reactive airway disease."
"Autoimmune conditions include rheumatologic and inflammatory conditions such as ankylosing spondylitis, polyarteritis nodosum, rheumatoid arthritis, systemic lupus erythematosus, and vasculitis."
"Cardiovascular disease includes conditions such as coronary artery disease, cardiac valve disorders, arrhythmias, congestive heart failure, and pulmonary hypertension. This category excludes people who have hypertension only."
"Chronic lung disease excludes asthma, and includes conditions such as chronic obstructive pulmonary disease, bronchiolitis obliterans, cystic fibrosis, interstitial lung disease and obstructive sleep apnea. "
"Gastrointestinal/liver disease includes conditions such as hepatitis, cirrhosis, Crohn's disease, and ulcerative colitis."
"Hypertension includes a medical diagnosis of hypertension. "
"Immune suppression includes conditions such as HIV/AIDS, complement deficiency, immunoglobulin deficiency, leukemia, lymphoma, solid organ malignancy, and individuals taking immunosuppressive medications."
