Influenza-Associated Hospitalizations by Virus Type Percent (data downloaded on 9/13/2025)
Season,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
2007-08,2007-40,100.0,0.0,0.0,0.0
2007-08,2007-41,66.7,0.0,0.0,33.3
2007-08,2007-42,100.0,0.0,0.0,0.0
2007-08,2007-43,83.3,0.0,0.0,16.7
2007-08,2007-44,66.7,16.7,0.0,16.7
2007-08,2007-45,71.4,14.3,0.0,14.3
2007-08,2007-46,83.3,8.3,0.0,8.3
2007-08,2007-47,81.0,4.8,0.0,14.3
2007-08,2007-48,90.0,10.0,0.0,0.0
2007-08,2007-49,81.8,13.6,0.0,4.5
2007-08,2007-50,92.3,7.7,0.0,0.0
2007-08,2007-51,85.1,8.5,0.0,6.4
2007-08,2007-52,76.9,12.3,0.0,10.8
2007-08,2008-1,69.1,16.4,0.0,14.5
2007-08,2008-2,82.5,15.9,0.0,1.6
2007-08,2008-3,71.3,23.8,0.0,5.0
2007-08,2008-4,75.8,22.0,0.0,2.3
2007-08,2008-5,77.7,18.5,0.0,3.8
2007-08,2008-6,70.0,25.3,0.0,4.7
2007-08,2008-7,68.8,27.8,0.0,3.4
2007-08,2008-8,66.3,28.6,0.0,5.1
2007-08,2008-9,61.9,34.5,0.0,3.6
2007-08,2008-10,64.1,31.7,0.0,4.2
2007-08,2008-11,61.9,34.5,0.0,3.5
2007-08,2008-12,52.7,42.0,0.0,5.3
2007-08,2008-13,50.7,46.0,0.0,3.3
2007-08,2008-14,47.3,50.4,0.0,2.3
2007-08,2008-15,40.3,58.2,0.0,1.5
2007-08,2008-16,38.9,59.3,0.0,1.9
2007-08,2008-17,37.0,63.0,0.0,0.0
2008-09,2008-40,100.0,0.0,0.0,0.0
2008-09,2008-41,100.0,0.0,0.0,0.0
2008-09,2008-42,75.0,0.0,0.0,25.0
2008-09,2008-43,90.9,0.0,9.1,0.0
2008-09,2008-44,100.0,0.0,0.0,0.0
2008-09,2008-45,91.7,0.0,0.0,8.3
2008-09,2008-46,66.7,8.3,8.3,16.7
2008-09,2008-47,85.7,14.3,0.0,0.0
2008-09,2008-48,72.7,18.2,0.0,9.1
2008-09,2008-49,68.2,18.2,0.0,13.6
2008-09,2008-50,94.4,0.0,0.0,5.6
2008-09,2008-51,100.0,0.0,0.0,0.0
2008-09,2008-52,80.6,13.9,0.0,5.6
2008-09,2008-53,88.0,8.0,0.0,4.0
2008-09,2009-1,83.3,13.3,0.0,3.3
2008-09,2009-2,90.7,7.4,0.0,1.9
2008-09,2009-3,82.8,15.5,0.0,1.7
2008-09,2009-4,86.0,8.6,1.1,4.3
2008-09,2009-5,83.3,13.0,0.0,3.7
2008-09,2009-6,77.9,16.2,0.6,5.2
2008-09,2009-7,80.0,16.8,0.0,3.2
2008-09,2009-8,64.1,29.8,0.6,5.5
2008-09,2009-9,68.4,29.0,0.0,2.6
2008-09,2009-10,60.9,33.3,0.0,5.8
2008-09,2009-11,62.2,29.7,0.0,8.1
2008-09,2009-12,55.8,42.1,0.0,2.1
2008-09,2009-13,56.1,40.4,0.0,3.5
2008-09,2009-14,50.0,47.6,0.0,2.4
2008-09,2009-15,66.7,26.7,0.0,6.7
2009-10,2009-35,98.8,0.0,0.0,1.2
2009-10,2009-36,97.2,1.4,0.9,0.5
2009-10,2009-37,97.1,1.5,1.0,0.5
2009-10,2009-38,96.7,1.1,1.1,1.1
2009-10,2009-40,98.3,0.0,0.7,1.0
2009-10,2009-41,98.4,0.2,0.7,0.6
2009-10,2009-42,99.0,0.4,0.2,0.4
2009-10,2009-43,99.3,0.2,0.3,0.1
2009-10,2009-44,98.4,0.7,0.3,0.6
2009-10,2009-45,98.5,0.4,0.2,0.9
2009-10,2009-46,98.8,0.0,0.6,0.6
2009-10,2009-47,96.4,1.0,2.1,0.5
2009-10,2009-48,97.6,0.0,1.6,0.8
2009-10,2009-49,93.5,1.1,3.3,2.2
2009-10,2009-50,97.2,0.0,2.8,0.0
2009-10,2009-51,97.1,1.5,1.5,0.0
2009-10,2009-52,97.4,2.6,0.0,0.0
2009-10,2010-1,96.6,1.7,1.7,0.0
2009-10,2010-2,94.6,3.6,0.0,1.8
2009-10,2010-3,98.2,0.0,1.8,0.0
2009-10,2010-4,94.9,0.0,5.1,0.0
2009-10,2010-5,88.9,5.6,5.6,0.0
2009-10,2010-6,82.5,10.0,5.0,2.5
2009-10,2010-7,94.1,2.0,3.9,0.0
2009-10,2010-8,90.2,7.3,2.4,0.0
2009-10,2010-9,90.7,4.7,2.3,2.3
2009-10,2010-10,90.5,4.8,4.8,0.0
2009-10,2010-11,97.4,2.6,0.0,0.0
2009-10,2010-12,92.6,0.0,3.7,3.7
2009-10,2010-13,84.2,10.5,5.3,0.0
2009-10,2010-14,100.0,0.0,0.0,0.0
2009-10,2010-15,94.4,5.6,0.0,0.0
2009-10,2010-16,90.0,0.0,10.0,0.0
2009-10,2010-17,100.0,0.0,0.0,0.0
2010-11,2010-40,69.2,15.4,7.7,7.7
2010-11,2010-41,80.0,13.3,6.7,0.0
2010-11,2010-42,70.6,17.6,5.9,5.9
2010-11,2010-43,78.3,21.7,0.0,0.0
2010-11,2010-44,75.0,25.0,0.0,0.0
2010-11,2010-45,52.9,47.1,0.0,0.0
2010-11,2010-46,55.6,38.9,2.8,2.8
2010-11,2010-47,52.5,40.0,5.0,2.5
2010-11,2010-48,59.4,40.6,0.0,0.0
2010-11,2010-49,60.0,37.8,2.2,0.0
2010-11,2010-50,72.0,28.0,0.0,0.0
2010-11,2010-51,80.2,19.2,0.6,0.0
2010-11,2010-52,83.9,14.9,0.4,0.8
2010-11,2011-1,78.2,17.9,1.6,2.4
2010-11,2011-2,87.2,10.6,2.1,0.0
2010-11,2011-3,89.2,10.6,0.0,0.3
2010-11,2011-4,89.5,9.4,0.7,0.5
2010-11,2011-5,86.9,12.0,0.4,0.8
2010-11,2011-6,85.4,13.5,0.4,0.6
2010-11,2011-7,87.8,10.5,0.5,1.2
2010-11,2011-8,84.3,14.1,0.3,1.3
2010-11,2011-9,85.7,13.8,0.2,0.4
2010-11,2011-10,81.6,17.9,0.0,0.5
2010-11,2011-11,78.4,19.8,0.6,1.2
2010-11,2011-12,80.8,17.8,0.0,1.4
2010-11,2011-13,68.7,30.6,0.0,0.7
2010-11,2011-14,64.8,34.3,0.9,0.0
2010-11,2011-15,70.7,29.3,0.0,0.0
2010-11,2011-16,52.0,48.0,0.0,0.0
2010-11,2011-17,63.6,36.4,0.0,0.0
2011-12,2011-40,62.5,37.5,0.0,0.0
2011-12,2011-41,40.0,20.0,20.0,20.0
2011-12,2011-42,75.0,25.0,0.0,0.0
2011-12,2011-43,100.0,0.0,0.0,0.0
2011-12,2011-44,33.3,50.0,0.0,16.7
2011-12,2011-45,50.0,0.0,0.0,50.0
2011-12,2011-46,100.0,0.0,0.0,0.0
2011-12,2011-47,77.8,22.2,0.0,0.0
2011-12,2011-48,77.8,22.2,0.0,0.0
2011-12,2011-49,37.5,50.0,0.0,12.5
2011-12,2011-50,68.8,31.3,0.0,0.0
2011-12,2011-51,78.6,14.3,0.0,7.1
2011-12,2011-52,88.5,11.5,0.0,0.0
2011-12,2012-1,70.8,25.0,0.0,4.2
2011-12,2012-2,95.5,4.5,0.0,0.0
2011-12,2012-3,87.0,13.0,0.0,0.0
2011-12,2012-4,96.6,3.4,0.0,0.0
2011-12,2012-5,91.4,8.6,0.0,0.0
2011-12,2012-6,91.4,8.6,0.0,0.0
2011-12,2012-7,92.3,6.6,0.0,1.1
2011-12,2012-8,96.4,3.6,0.0,0.0
2011-12,2012-9,90.5,8.9,0.6,0.0
2011-12,2012-10,96.3,3.2,0.5,0.0
2011-12,2012-11,94.9,5.1,0.0,0.0
2011-12,2012-12,91.2,8.5,0.3,0.0
2011-12,2012-13,82.9,15.8,0.9,0.4
2011-12,2012-14,83.1,16.9,0.0,0.0
2011-12,2012-15,80.4,19.1,0.0,0.5
2011-12,2012-16,75.4,24.0,0.6,0.0
2011-12,2012-17,76.1,23.1,0.9,0.0
2012-13,2012-40,45.5,36.4,0.0,18.2
2012-13,2012-41,66.7,33.3,0.0,0.0
2012-13,2012-42,80.0,13.3,0.0,6.7
2012-13,2012-43,100.0,0.0,0.0,0.0
2012-13,2012-44,60.0,36.0,0.0,4.0
2012-13,2012-45,66.7,29.6,1.9,1.9
2012-13,2012-46,68.4,31.6,0.0,0.0
2012-13,2012-47,86.5,13.5,0.0,0.0
2012-13,2012-48,82.0,17.6,0.0,0.5
2012-13,2012-49,82.0,18.0,0.0,0.0
2012-13,2012-50,87.2,12.3,0.4,0.2
2012-13,2012-51,87.6,11.8,0.1,0.6
2012-13,2012-52,92.8,7.2,0.0,0.0
2012-13,2013-1,89.9,9.6,0.1,0.4
2012-13,2013-2,89.9,9.6,0.1,0.4
2012-13,2013-3,86.3,12.7,0.6,0.4
2012-13,2013-4,86.5,13.1,0.1,0.2
2012-13,2013-5,79.6,19.5,0.1,0.8
2012-13,2013-6,76.6,21.7,0.5,1.1
2012-13,2013-7,69.0,29.8,0.6,0.6
2012-13,2013-8,61.4,38.3,0.3,0.0
2012-13,2013-9,59.5,40.5,0.0,0.0
2012-13,2013-10,49.5,50.5,0.0,0.0
2012-13,2013-11,38.9,60.7,0.0,0.4
2012-13,2013-12,36.9,62.6,0.0,0.5
2012-13,2013-13,25.6,73.8,0.6,0.0
2012-13,2013-14,24.1,75.3,0.6,0.0
2012-13,2013-15,24.1,74.1,1.9,0.0
2012-13,2013-16,34.5,63.6,1.8,0.0
2012-13,2013-17,32.1,62.3,3.8,1.9
2013-14,2013-40,66.7,33.3,0.0,0.0
2013-14,2013-41,76.2,19.0,0.0,4.8
2013-14,2013-42,68.4,31.6,0.0,0.0
2013-14,2013-43,81.0,19.0,0.0,0.0
2013-14,2013-44,75.8,18.2,6.1,0.0
2013-14,2013-45,73.7,23.7,0.0,2.6
2013-14,2013-46,90.2,8.2,0.0,1.6
2013-14,2013-47,96.0,4.0,0.0,0.0
2013-14,2013-48,95.6,3.1,0.6,0.6
2013-14,2013-49,94.8,4.8,0.4,0.0
2013-14,2013-50,95.7,3.6,0.3,0.3
2013-14,2013-51,96.9,2.8,0.2,0.2
2013-14,2013-52,97.1,2.3,0.4,0.2
2013-14,2014-1,98.3,1.4,0.0,0.3
2013-14,2014-2,97.1,2.4,0.2,0.3
2013-14,2014-3,95.9,3.0,0.2,0.8
2013-14,2014-4,92.0,6.4,0.4,1.2
2013-14,2014-5,94.1,5.4,0.2,0.3
2013-14,2014-6,92.8,6.4,0.0,0.8
2013-14,2014-7,90.1,8.5,0.8,0.6
2013-14,2014-8,86.4,12.2,1.4,0.0
2013-14,2014-9,80.2,17.8,1.2,0.8
2013-14,2014-10,77.3,21.1,1.1,0.5
2013-14,2014-11,70.8,27.6,1.1,0.5
2013-14,2014-12,64.4,33.5,1.0,1.0
2013-14,2014-13,64.2,35.8,0.0,0.0
2013-14,2014-14,59.7,39.8,0.0,0.5
2013-14,2014-15,55.0,44.1,0.4,0.4
2013-14,2014-16,37.2,62.2,0.5,0.0
2013-14,2014-17,43.6,56.0,0.0,0.4
2014-15,2014-40,78.9,21.1,0.0,0.0
2014-15,2014-41,82.4,14.7,0.0,2.9
2014-15,2014-42,75.5,20.4,4.1,0.0
2014-15,2014-43,73.1,26.9,0.0,0.0
2014-15,2014-44,86.2,10.3,3.4,0.0
2014-15,2014-45,84.0,12.0,2.0,2.0
2014-15,2014-46,91.2,7.4,1.5,0.0
2014-15,2014-47,92.4,6.1,1.5,0.0
2014-15,2014-48,97.0,3.0,0.0,0.0
2014-15,2014-49,96.4,3.0,0.5,0.2
2014-15,2014-50,97.3,2.1,0.4,0.2
2014-15,2014-51,98.1,1.4,0.4,0.0
2014-15,2014-52,97.9,1.5,0.5,0.1
2014-15,2014-53,96.8,2.5,0.6,0.2
2014-15,2015-1,95.6,3.3,0.8,0.4
2014-15,2015-2,95.6,4.0,0.3,0.0
2014-15,2015-3,91.0,8.1,0.6,0.3
2014-15,2015-4,91.0,8.2,0.5,0.3
2014-15,2015-5,86.8,12.5,0.6,0.1
2014-15,2015-6,80.4,18.9,0.2,0.5
2014-15,2015-7,72.7,26.7,0.7,0.0
2014-15,2015-8,60.0,38.8,1.0,0.3
2014-15,2015-9,56.9,40.3,1.7,1.1
2014-15,2015-10,38.2,60.6,0.9,0.3
2014-15,2015-11,36.3,62.4,0.9,0.3
2014-15,2015-12,33.0,66.3,0.7,0.0
2014-15,2015-13,24.3,75.0,0.4,0.4
2014-15,2015-14,16.4,82.9,0.7,0.0
2014-15,2015-15,14.8,84.2,0.5,0.5
2014-15,2015-16,17.6,80.8,1.6,0.0
2014-15,2015-17,11.8,88.2,0.0,0.0
2015-16,2015-40,79.2,20.8,0.0,0.0
2015-16,2015-41,69.2,26.9,3.8,0.0
2015-16,2015-42,62.5,18.8,12.5,6.3
2015-16,2015-43,41.2,52.9,5.9,0.0
2015-16,2015-44,45.8,45.8,8.3,0.0
2015-16,2015-45,62.5,37.5,0.0,0.0
2015-16,2015-46,60.0,16.0,20.0,4.0
2015-16,2015-47,68.0,16.0,8.0,8.0
2015-16,2015-48,54.2,41.7,4.2,0.0
2015-16,2015-49,62.9,34.3,2.9,0.0
2015-16,2015-50,70.0,27.5,2.5,0.0
2015-16,2015-51,66.7,30.2,0.0,3.2
2015-16,2015-52,77.2,19.3,3.5,0.0
2015-16,2016-1,59.8,39.3,0.9,0.0
2015-16,2016-2,62.8,34.9,2.3,0.0
2015-16,2016-3,72.4,27.6,0.0,0.0
2015-16,2016-4,76.2,23.2,0.6,0.0
2015-16,2016-5,75.1,24.9,0.0,0.0
2015-16,2016-6,74.6,24.8,0.6,0.0
2015-16,2016-7,76.5,22.8,0.2,0.5
2015-16,2016-8,80.7,18.4,0.4,0.4
2015-16,2016-9,82.8,16.4,0.5,0.3
2015-16,2016-10,83.1,16.5,0.3,0.2
2015-16,2016-11,82.9,16.7,0.4,0.0
2015-16,2016-12,77.5,21.9,0.2,0.4
2015-16,2016-13,71.1,28.3,0.4,0.1
2015-16,2016-14,62.7,36.7,0.2,0.4
2015-16,2016-15,57.5,41.2,1.2,0.0
2015-16,2016-16,50.3,48.8,0.6,0.3
2015-16,2016-17,46.2,53.8,0.0,0.0
2016-17,2016-40,60.0,32.0,4.0,4.0
2016-17,2016-41,88.9,11.1,0.0,0.0
2016-17,2016-42,79.3,17.2,3.4,0.0
2016-17,2016-43,86.8,13.2,0.0,0.0
2016-17,2016-44,80.5,17.1,0.0,2.4
2016-17,2016-45,77.6,19.0,1.7,1.7
2016-17,2016-46,84.0,16.0,0.0,0.0
2016-17,2016-47,81.6,13.8,3.4,1.1
2016-17,2016-48,80.0,17.4,1.7,0.9
2016-17,2016-49,91.1,7.1,1.8,0.0
2016-17,2016-50,93.0,6.1,0.9,0.0
2016-17,2016-51,90.4,8.9,0.2,0.4
2016-17,2016-52,94.3,5.4,0.3,0.0
2016-17,2017-1,95.6,4.1,0.1,0.2
2016-17,2017-2,94.8,4.9,0.3,0.0
2016-17,2017-3,95.0,4.6,0.2,0.2
2016-17,2017-4,92.8,6.5,0.2,0.4
2016-17,2017-5,92.5,7.0,0.1,0.4
2016-17,2017-6,90.4,9.0,0.3,0.3
2016-17,2017-7,87.6,12.2,0.1,0.1
2016-17,2017-8,82.0,17.8,0.1,0.1
2016-17,2017-9,78.2,21.0,0.4,0.3
2016-17,2017-10,68.0,30.7,0.6,0.6
2016-17,2017-11,58.3,40.8,0.5,0.4
2016-17,2017-12,49.5,49.5,0.6,0.5
2016-17,2017-13,41.8,57.8,0.3,0.1
2016-17,2017-14,32.7,66.6,0.5,0.2
2016-17,2017-15,31.0,68.5,0.3,0.3
2016-17,2017-16,23.2,75.7,0.7,0.4
2016-17,2017-17,24.4,73.3,2.2,0.0
2017-18,2017-40,62.9,34.3,2.9,0.0
2017-18,2017-41,81.3,18.8,0.0,0.0
2017-18,2017-42,85.5,14.5,0.0,0.0
2017-18,2017-43,61.9,38.1,0.0,0.0
2017-18,2017-44,86.9,10.7,2.4,0.0
2017-18,2017-45,88.1,11.9,0.0,0.0
2017-18,2017-46,90.7,7.8,1.6,0.0
2017-18,2017-47,87.6,12.4,0.0,0.0
2017-18,2017-48,88.3,10.5,0.6,0.6
2017-18,2017-49,89.4,10.1,0.5,0.0
2017-18,2017-50,89.2,10.1,0.4,0.3
2017-18,2017-51,91.0,8.8,0.2,0.0
2017-18,2017-52,89.6,10.1,0.3,0.1
2017-18,2018-1,86.8,13.0,0.2,0.0
2017-18,2018-2,86.3,13.0,0.5,0.1
2017-18,2018-3,83.5,15.9,0.5,0.1
2017-18,2018-4,80.9,18.7,0.3,0.2
2017-18,2018-5,77.3,21.9,0.5,0.2
2017-18,2018-6,69.6,29.7,0.5,0.2
2017-18,2018-7,62.8,36.4,0.7,0.1
2017-18,2018-8,54.0,45.3,0.3,0.4
2017-18,2018-9,50.1,48.6,1.0,0.3
2017-18,2018-10,40.6,59.1,0.1,0.1
2017-18,2018-11,33.0,66.4,0.4,0.2
2017-18,2018-12,36.3,63.3,0.2,0.3
2017-18,2018-13,36.1,63.5,0.2,0.3
2017-18,2018-14,30.9,68.6,0.4,0.2
2017-18,2018-15,27.5,72.0,0.5,0.0
2017-18,2018-16,31.1,68.6,0.3,0.0
2017-18,2018-17,34.4,65.3,0.4,0.0
2018-19,2018-40,61.9,38.1,0.0,0.0
2018-19,2018-41,44.8,55.2,0.0,0.0
2018-19,2018-42,60.0,40.0,0.0,0.0
2018-19,2018-43,43.3,56.7,0.0,0.0
2018-19,2018-44,58.7,34.8,4.3,2.2
2018-19,2018-45,71.7,26.4,1.9,0.0
2018-19,2018-46,88.1,10.4,1.5,0.0
2018-19,2018-47,84.0,16.0,0.0,0.0
2018-19,2018-48,89.4,8.1,1.9,0.6
2018-19,2018-49,87.8,11.2,0.5,0.5
2018-19,2018-50,96.5,2.9,0.3,0.3
2018-19,2018-51,95.4,3.6,0.9,0.2
2018-19,2018-52,96.2,2.9,0.6,0.2
2018-19,2019-1,96.5,3.2,0.2,0.1
2018-19,2019-2,95.8,3.9,0.3,0.0
2018-19,2019-3,94.8,4.4,0.3,0.5
2018-19,2019-4,96.0,3.6,0.3,0.1
2018-19,2019-5,96.4,3.3,0.0,0.3
2018-19,2019-6,97.6,1.9,0.3,0.2
2018-19,2019-7,97.4,2.4,0.0,0.2
2018-19,2019-8,97.1,2.6,0.1,0.1
2018-19,2019-9,98.5,1.1,0.0,0.4
2018-19,2019-10,97.7,1.7,0.1,0.5
2018-19,2019-11,97.2,2.5,0.1,0.2
2018-19,2019-12,96.3,3.6,0.1,0.1
2018-19,2019-13,96.1,3.7,0.1,0.1
2018-19,2019-14,95.5,4.4,0.0,0.1
2018-19,2019-15,93.3,6.5,0.0,0.2
2018-19,2019-16,87.7,11.1,0.9,0.3
2018-19,2019-17,79.1,20.0,0.4,0.4
2019-20,2019-40,78.6,21.4,0.0,0.0
2019-20,2019-41,67.6,32.4,0.0,0.0
2019-20,2019-42,64.0,36.0,0.0,0.0
2019-20,2019-43,56.1,38.6,3.5,1.8
2019-20,2019-44,69.6,29.0,1.4,0.0
2019-20,2019-45,64.4,35.6,0.0,0.0
2019-20,2019-46,51.6,47.5,0.8,0.0
2019-20,2019-47,50.0,49.5,0.0,0.5
2019-20,2019-48,58.7,41.0,0.4,0.0
2019-20,2019-49,48.4,50.8,0.5,0.3
2019-20,2019-50,50.8,48.6,0.4,0.2
2019-20,2019-51,56.5,43.3,0.3,0.0
2019-20,2019-52,61.3,38.4,0.1,0.2
2019-20,2020-1,56.8,42.8,0.3,0.1
2019-20,2020-2,62.4,36.8,0.4,0.5
2019-20,2020-3,68.7,30.7,0.4,0.2
2019-20,2020-4,75.8,23.8,0.3,0.1
2019-20,2020-5,76.7,23.0,0.1,0.2
2019-20,2020-6,79.2,20.2,0.4,0.2
2019-20,2020-7,81.2,18.5,0.3,0.1
2019-20,2020-8,83.6,15.9,0.2,0.3
2019-20,2020-9,85.7,13.8,0.2,0.3
2019-20,2020-10,87.2,12.3,0.3,0.2
2019-20,2020-11,89.1,10.4,0.4,0.1
2019-20,2020-12,85.8,12.8,1.1,0.3
2019-20,2020-13,79.3,16.3,3.3,1.1
2019-20,2020-14,60.0,37.1,2.9,0.0
2019-20,2020-15,23.5,64.7,5.9,5.9
2019-20,2020-16,42.9,42.9,14.3,0.0
2019-20,2020-17,44.4,55.6,0.0,0.0
2020-21,2020-40,0.0,0.0,100.0,0.0
2020-21,2020-41,0.0,100.0,0.0,0.0
2020-21,2020-42,16.7,66.7,16.7,0.0
2020-21,2020-43,28.6,57.1,14.3,0.0
2020-21,2020-44,14.3,71.4,14.3,0.0
2020-21,2020-45,41.7,58.3,0.0,0.0
2020-21,2020-46,38.5,53.8,7.7,0.0
2020-21,2020-47,45.5,45.5,9.1,0.0
2020-21,2020-48,25.0,50.0,25.0,0.0
2020-21,2020-49,47.1,47.1,5.9,0.0
2020-21,2020-50,30.8,46.2,23.1,0.0
2020-21,2020-51,36.4,54.5,0.0,9.1
2020-21,2020-52,23.1,76.9,0.0,0.0
2020-21,2020-53,35.3,58.8,5.9,0.0
2020-21,2021-1,27.3,72.7,0.0,0.0
2020-21,2021-2,25.0,75.0,0.0,0.0
